"","state","pollster","start.date","end.date","entry.date.time..et.","number.of.observations","population","mode","trump","clinton","other","undecided","pollster.url","source.url","partisan","affiliation","question.text","question.iteration","johnson","mcmullin"
"747","--","Morning Consult","2016-07-29","2016-07-30","2016-07-31T13:39:34Z",653,"Registered Voters - independent","Internet",38,32,NA,30,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-25023","https://morningconsult.com/2016/07/31/presidential-poll-hillary-clinton-donald-trump/","Nonpartisan","None","If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton and Republican Donald Trump, for whom would you vote?",1,NA,NA
"748","--","Morning Consult","2016-07-29","2016-07-30","2016-07-31T13:39:34Z",1931,"Registered Voters","Internet",36,41,NA,12,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-25023","https://morningconsult.com/2016/07/31/presidential-poll-hillary-clinton-donald-trump/","Nonpartisan","None","If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton, Republican Donald Trump and Libertarian Gary Johnson, for whom would you vote?",2,NA,NA
"749","--","Morning Consult","2016-07-29","2016-07-30","2016-07-31T13:39:34Z",699,"Registered Voters - Democrat","Internet",9,80,NA,6,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-25023","https://morningconsult.com/2016/07/31/presidential-poll-hillary-clinton-donald-trump/","Nonpartisan","None","If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton, Republican Donald Trump and Libertarian Gary Johnson, for whom would you vote?",2,NA,NA
"750","--","Morning Consult","2016-07-29","2016-07-30","2016-07-31T13:39:34Z",579,"Registered Voters - Republican","Internet",74,9,NA,21,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-25023","https://morningconsult.com/2016/07/31/presidential-poll-hillary-clinton-donald-trump/","Nonpartisan","None","If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton, Republican Donald Trump and Libertarian Gary Johnson, for whom would you vote?",2,NA,NA
"751","--","Morning Consult","2016-07-29","2016-07-30","2016-07-31T13:39:34Z",653,"Registered Voters - independent","Internet",32,27,NA,8,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-25023","https://morningconsult.com/2016/07/31/presidential-poll-hillary-clinton-donald-trump/","Nonpartisan","None","If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton, Republican Donald Trump and Libertarian Gary Johnson, for whom would you vote?",2,NA,NA
"752","--","PPP (D)","2016-07-29","2016-07-30","2016-07-31T13:13:24Z",1276,"Likely Voters","IVR/Online",41,46,2,5,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-25022","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_7302016.pdf","Pollster","Dem","The candidates for President are Democrat Hillary Clinton, Republican Donald Trump, Libertarian Gary Johnson, and Green Party candidate Jill Stein. If the election was today, who would you vote for?",1,NA,NA
"753","--","PPP (D)","2016-07-29","2016-07-30","2016-07-31T13:13:24Z",NA,"Likely Voters - Democrat","IVR/Online",9,83,2,4,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-25022","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_7302016.pdf","Pollster","Dem","The candidates for President are Democrat Hillary Clinton, Republican Donald Trump, Libertarian Gary Johnson, and Green Party candidate Jill Stein. If the election was today, who would you vote for?",1,NA,NA
"754","--","PPP (D)","2016-07-29","2016-07-30","2016-07-31T13:13:24Z",NA,"Likely Voters - Republican","IVR/Online",79,8,2,4,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-25022","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_7302016.pdf","Pollster","Dem","The candidates for President are Democrat Hillary Clinton, Republican Donald Trump, Libertarian Gary Johnson, and Green Party candidate Jill Stein. If the election was today, who would you vote for?",1,NA,NA
"755","--","PPP (D)","2016-07-29","2016-07-30","2016-07-31T13:13:24Z",NA,"Likely Voters - independent","IVR/Online",42,35,2,11,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-25022","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_7302016.pdf","Pollster","Dem","The candidates for President are Democrat Hillary Clinton, Republican Donald Trump, Libertarian Gary Johnson, and Green Party candidate Jill Stein. If the election was today, who would you vote for?",1,NA,NA
"756","--","RABA Research","2016-07-29","2016-07-29","2016-07-30T15:39:56Z",956,"Likely Voters","Internet",31,46,2,15,"http://elections.huffingtonpost.com/pollster/polls/raba-research-25020","http://www.rabaresearch.com/documents/RABA-Updated-National-Survey-July-2016-2.pdf","Nonpartisan","None","If the election for Present were held today, for whom would you vote?",1,NA,NA
"757","--","Ipsos/Reuters","2016-07-25","2016-07-29","2016-07-29T19:50:46Z",1050,"Likely Voters","Internet",35,40,8,17,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25002","http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=7324","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",1,NA,NA
"758","--","Ipsos/Reuters","2016-07-25","2016-07-29","2016-07-29T19:50:46Z",NA,"Likely Voters - Democrat","Internet",9,79,4,8,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25002","http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=7324","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",1,NA,NA
"759","--","Ipsos/Reuters","2016-07-25","2016-07-29","2016-07-29T19:50:46Z",NA,"Likely Voters - Republican","Internet",71,6,9,14,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25002","http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=7324","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",1,NA,NA
"760","--","Ipsos/Reuters","2016-07-25","2016-07-29","2016-07-29T19:50:46Z",NA,"Likely Voters - independent","Internet",23,27,27,24,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25002","http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=7324","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",1,NA,NA
"761","--","Ipsos/Reuters","2016-07-25","2016-07-29","2016-07-29T19:50:46Z",1433,"Likely Voters","Internet",37,37,6,15,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25002","http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=7324","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",2,NA,NA
"762","--","Rasmussen","2016-07-26","2016-07-27","2016-07-28T19:43:02Z",1000,"Likely Voters","IVR/Online",42,43,10,4,"http://elections.huffingtonpost.com/pollster/polls/rasmussen-24988","http://www.rasmussenreports.com/public_content/politics/elections/election_2016/white_house_watch","Nonpartisan","None","If the 2016 presidential election were held today, would you vote for Republican Donald Trump or Democrat Hillary Clinton?",1,NA,NA
"763","--","YouGov/Economist","2016-07-23","2016-07-24","2016-07-25T21:04:05Z",1057,"Registered Voters","Internet",38,40,8,9,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24962","https://today.yougov.com/news/2016/07/25/convention-impact-limited/","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, Donald Trump, the Republican, Gary Johson, the Libertarian, and Jill Stein, from the Green Party, who would you vote for?",1,NA,NA
"764","--","YouGov/Economist","2016-07-23","2016-07-24","2016-07-25T21:04:05Z",406,"Registered Voters - Democrat","Internet",6,81,4,7,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24962","https://today.yougov.com/news/2016/07/25/convention-impact-limited/","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, Donald Trump, the Republican, Gary Johson, the Libertarian, and Jill Stein, from the Green Party, who would you vote for?",1,NA,NA
"765","--","YouGov/Economist","2016-07-23","2016-07-24","2016-07-25T21:04:05Z",287,"Registered Voters - Republican","Internet",78,6,5,5,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24962","https://today.yougov.com/news/2016/07/25/convention-impact-limited/","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, Donald Trump, the Republican, Gary Johson, the Libertarian, and Jill Stein, from the Green Party, who would you vote for?",1,NA,NA
"766","--","YouGov/Economist","2016-07-23","2016-07-24","2016-07-25T21:04:05Z",364,"Registered Voters - independent","Internet",38,26,13,15,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24962","https://today.yougov.com/news/2016/07/25/convention-impact-limited/","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, Donald Trump, the Republican, Gary Johson, the Libertarian, and Jill Stein, from the Green Party, who would you vote for?",1,NA,NA
"767","--","Penn Schoen Berland","2016-07-22","2016-07-24","2016-08-03T16:59:18Z",1000,"Likely Voters","Internet",44,41,NA,10,"http://elections.huffingtonpost.com/pollster/polls/penn-schoen-berland-25049","http://psbresearch.com/wp-content/uploads/2016/08/PSB-DNC-Dial-Test-08-02-16.pdf","Nonpartisan","None","If the 2016 Presidential Election were being held today, who would you vote for?",1,NA,NA
"768","--","Penn Schoen Berland","2016-07-22","2016-07-24","2016-08-03T16:59:18Z",NA,"Likely Voters - Democrat","Internet",9,79,NA,9,"http://elections.huffingtonpost.com/pollster/polls/penn-schoen-berland-25049","http://psbresearch.com/wp-content/uploads/2016/08/PSB-DNC-Dial-Test-08-02-16.pdf","Nonpartisan","None","If the 2016 Presidential Election were being held today, who would you vote for?",1,NA,NA
"769","--","Penn Schoen Berland","2016-07-22","2016-07-24","2016-08-03T16:59:18Z",NA,"Likely Voters - Republican","Internet",85,3,NA,7,"http://elections.huffingtonpost.com/pollster/polls/penn-schoen-berland-25049","http://psbresearch.com/wp-content/uploads/2016/08/PSB-DNC-Dial-Test-08-02-16.pdf","Nonpartisan","None","If the 2016 Presidential Election were being held today, who would you vote for?",1,NA,NA
"770","--","Penn Schoen Berland","2016-07-22","2016-07-24","2016-08-03T16:59:18Z",NA,"Likely Voters - independent","Internet",33,28,NA,20,"http://elections.huffingtonpost.com/pollster/polls/penn-schoen-berland-25049","http://psbresearch.com/wp-content/uploads/2016/08/PSB-DNC-Dial-Test-08-02-16.pdf","Nonpartisan","None","If the 2016 Presidential Election were being held today, who would you vote for?",1,NA,NA
"771","--","CBS","2016-07-22","2016-07-24","2016-07-25T11:42:31Z",1118,"Registered Voters","Live Phone",44,43,4,10,"http://elections.huffingtonpost.com/pollster/polls/cbs-24956","http://www.cbsnews.com/news/poll-hillary-clinton-and-donald-trump-tied-going-into-democratic-convention/","Nonpartisan","None","f the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, and Donald Trump, the Republican, would you vote for Hillary Clinton or Donald Trump? (IF DEPENDS OR DON’T KNOW):Well as of today, do you lean more toward Hillary Clinton or more toward Donald Trump?",1,NA,NA
"772","--","CBS","2016-07-22","2016-07-24","2016-07-25T11:42:31Z",NA,"Registered Voters - Democrat","Live Phone",11,84,0,4,"http://elections.huffingtonpost.com/pollster/polls/cbs-24956","http://www.cbsnews.com/news/poll-hillary-clinton-and-donald-trump-tied-going-into-democratic-convention/","Nonpartisan","None","f the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, and Donald Trump, the Republican, would you vote for Hillary Clinton or Donald Trump? (IF DEPENDS OR DON’T KNOW):Well as of today, do you lean more toward Hillary Clinton or more toward Donald Trump?",1,NA,NA
"773","--","CBS","2016-07-22","2016-07-24","2016-07-25T11:42:31Z",NA,"Registered Voters - Republican","Live Phone",82,6,3,9,"http://elections.huffingtonpost.com/pollster/polls/cbs-24956","http://www.cbsnews.com/news/poll-hillary-clinton-and-donald-trump-tied-going-into-democratic-convention/","Nonpartisan","None","f the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, and Donald Trump, the Republican, would you vote for Hillary Clinton or Donald Trump? (IF DEPENDS OR DON’T KNOW):Well as of today, do you lean more toward Hillary Clinton or more toward Donald Trump?",1,NA,NA
"774","--","CBS","2016-07-22","2016-07-24","2016-07-25T11:42:31Z",NA,"Registered Voters - independent","Live Phone",43,35,7,15,"http://elections.huffingtonpost.com/pollster/polls/cbs-24956","http://www.cbsnews.com/news/poll-hillary-clinton-and-donald-trump-tied-going-into-democratic-convention/","Nonpartisan","None","f the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, and Donald Trump, the Republican, would you vote for Hillary Clinton or Donald Trump? (IF DEPENDS OR DON’T KNOW):Well as of today, do you lean more toward Hillary Clinton or more toward Donald Trump?",1,NA,NA
"775","--","CBS","2016-07-22","2016-07-24","2016-07-25T11:42:31Z",1118,"Registered Voters","Live Phone",40,39,2,7,"http://elections.huffingtonpost.com/pollster/polls/cbs-24956","http://www.cbsnews.com/news/poll-hillary-clinton-and-donald-trump-tied-going-into-democratic-convention/","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, and Donald Trump, the Republican, and Gary Johnson, the Libertarian would you vote for Hillary Clinton or Donald Trump or Gary Johnson?",2,NA,NA
"776","--","CBS","2016-07-22","2016-07-24","2016-07-25T11:42:31Z",NA,"Registered Voters - Democrat","Live Phone",10,79,0,3,"http://elections.huffingtonpost.com/pollster/polls/cbs-24956","http://www.cbsnews.com/news/poll-hillary-clinton-and-donald-trump-tied-going-into-democratic-convention/","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, and Donald Trump, the Republican, and Gary Johnson, the Libertarian would you vote for Hillary Clinton or Donald Trump or Gary Johnson?",2,NA,NA
"777","--","CBS","2016-07-22","2016-07-24","2016-07-25T11:42:31Z",NA,"Registered Voters - Republican","Live Phone",81,6,2,4,"http://elections.huffingtonpost.com/pollster/polls/cbs-24956","http://www.cbsnews.com/news/poll-hillary-clinton-and-donald-trump-tied-going-into-democratic-convention/","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, and Donald Trump, the Republican, and Gary Johnson, the Libertarian would you vote for Hillary Clinton or Donald Trump or Gary Johnson?",2,NA,NA
"778","--","CBS","2016-07-22","2016-07-24","2016-07-25T11:42:31Z",NA,"Registered Voters - independent","Live Phone",37,31,3,11,"http://elections.huffingtonpost.com/pollster/polls/cbs-24956","http://www.cbsnews.com/news/poll-hillary-clinton-and-donald-trump-tied-going-into-democratic-convention/","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, and Donald Trump, the Republican, and Gary Johnson, the Libertarian would you vote for Hillary Clinton or Donald Trump or Gary Johnson?",2,NA,NA
"779","--","CNN","2016-07-22","2016-07-24","2016-07-25T11:11:43Z",882,"Registered Voters","Live Phone",48,45,6,1,"http://elections.huffingtonpost.com/pollster/polls/cnn-24955","http://www.cnn.com/2016/07/25/politics/donald-trump-hillary-clinton-poll/index.html","Nonpartisan","None","Suppose that the presidential election were being held today and you had to choose between Hillary Clinton as the Democratic Party’s candidate, and Donald Trump and Mike Pence as the Republican Party’s candidates. Who would you be more likely to vote for?",1,NA,NA
"780","--","CNN","2016-07-22","2016-07-24","2016-07-25T11:11:43Z",NA,"Registered Voters - Democrat","Live Phone",7,88,3,1,"http://elections.huffingtonpost.com/pollster/polls/cnn-24955","http://www.cnn.com/2016/07/25/politics/donald-trump-hillary-clinton-poll/index.html","Nonpartisan","None","Suppose that the presidential election were being held today and you had to choose between Hillary Clinton as the Democratic Party’s candidate, and Donald Trump and Mike Pence as the Republican Party’s candidates. Who would you be more likely to vote for?",1,NA,NA
"781","--","CNN","2016-07-22","2016-07-24","2016-07-25T11:11:43Z",NA,"Registered Voters - Republican","Live Phone",90,8,3,0,"http://elections.huffingtonpost.com/pollster/polls/cnn-24955","http://www.cnn.com/2016/07/25/politics/donald-trump-hillary-clinton-poll/index.html","Nonpartisan","None","Suppose that the presidential election were being held today and you had to choose between Hillary Clinton as the Democratic Party’s candidate, and Donald Trump and Mike Pence as the Republican Party’s candidates. Who would you be more likely to vote for?",1,NA,NA
"782","--","CNN","2016-07-22","2016-07-24","2016-07-25T11:11:43Z",NA,"Registered Voters - independent","Live Phone",50,37,12,1,"http://elections.huffingtonpost.com/pollster/polls/cnn-24955","http://www.cnn.com/2016/07/25/politics/donald-trump-hillary-clinton-poll/index.html","Nonpartisan","None","Suppose that the presidential election were being held today and you had to choose between Hillary Clinton as the Democratic Party’s candidate, and Donald Trump and Mike Pence as the Republican Party’s candidates. Who would you be more likely to vote for?",1,NA,NA
"783","--","CNN","2016-07-22","2016-07-24","2016-07-25T11:11:43Z",882,"Registered Voters","Live Phone",44,39,3,4,"http://elections.huffingtonpost.com/pollster/polls/cnn-24955","http://www.cnn.com/2016/07/25/politics/donald-trump-hillary-clinton-poll/index.html","Nonpartisan","None","Now suppose that the presidential candidates on the ballot in your state included Hillary Clinton as the Democratic Party’s candidate, Donald Trump as the Republican Party’s candidate, Gary Johnson as the Libertarian Party candidate, and Jill Stein as the Green Party candidate, who would you be more likely to vote for?",2,NA,NA
"784","--","CNN","2016-07-22","2016-07-24","2016-07-25T11:11:43Z",NA,"Registered Voters - Democrat","Live Phone",7,82,2,5,"http://elections.huffingtonpost.com/pollster/polls/cnn-24955","http://www.cnn.com/2016/07/25/politics/donald-trump-hillary-clinton-poll/index.html","Nonpartisan","None","Now suppose that the presidential candidates on the ballot in your state included Hillary Clinton as the Democratic Party’s candidate, Donald Trump as the Republican Party’s candidate, Gary Johnson as the Libertarian Party candidate, and Jill Stein as the Green Party candidate, who would you be more likely to vote for?",2,NA,NA
"785","--","CNN","2016-07-22","2016-07-24","2016-07-25T11:11:43Z",NA,"Registered Voters - Republican","Live Phone",84,6,2,0,"http://elections.huffingtonpost.com/pollster/polls/cnn-24955","http://www.cnn.com/2016/07/25/politics/donald-trump-hillary-clinton-poll/index.html","Nonpartisan","None","Now suppose that the presidential candidates on the ballot in your state included Hillary Clinton as the Democratic Party’s candidate, Donald Trump as the Republican Party’s candidate, Gary Johnson as the Libertarian Party candidate, and Jill Stein as the Green Party candidate, who would you be more likely to vote for?",2,NA,NA
"786","--","CNN","2016-07-22","2016-07-24","2016-07-25T11:11:43Z",NA,"Registered Voters - independent","Live Phone",45,27,4,9,"http://elections.huffingtonpost.com/pollster/polls/cnn-24955","http://www.cnn.com/2016/07/25/politics/donald-trump-hillary-clinton-poll/index.html","Nonpartisan","None","Now suppose that the presidential candidates on the ballot in your state included Hillary Clinton as the Democratic Party’s candidate, Donald Trump as the Republican Party’s candidate, Gary Johnson as the Libertarian Party candidate, and Jill Stein as the Green Party candidate, who would you be more likely to vote for?",2,NA,NA
"787","--","Morning Consult","2016-07-22","2016-07-24","2016-07-25T11:08:10Z",2502,"Registered Voters","Internet",44,40,NA,16,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-24954","https://morningconsult.com/2016/07/25/trump-surges-past-clinton-post-convention-bump/","Nonpartisan","None","If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton and Republican Donald Trump, for whom would you vote?",1,NA,NA
"788","--","Morning Consult","2016-07-22","2016-07-24","2016-07-25T11:08:10Z",830,"Registered Voters - Democrat","Internet",9,81,NA,9,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-24954","https://morningconsult.com/2016/07/25/trump-surges-past-clinton-post-convention-bump/","Nonpartisan","None","If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton and Republican Donald Trump, for whom would you vote?",1,NA,NA
"789","--","Morning Consult","2016-07-22","2016-07-24","2016-07-25T11:08:10Z",796,"Registered Voters - Republican","Internet",85,7,NA,8,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-24954","https://morningconsult.com/2016/07/25/trump-surges-past-clinton-post-convention-bump/","Nonpartisan","None","If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton and Republican Donald Trump, for whom would you vote?",1,NA,NA
"790","--","Morning Consult","2016-07-22","2016-07-24","2016-07-25T11:08:10Z",876,"Registered Voters - independent","Internet",40,30,NA,31,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-24954","https://morningconsult.com/2016/07/25/trump-surges-past-clinton-post-convention-bump/","Nonpartisan","None","If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton and Republican Donald Trump, for whom would you vote?",1,NA,NA
"791","--","Morning Consult","2016-07-22","2016-07-24","2016-07-25T11:08:10Z",2502,"Registered Voters","Internet",40,36,NA,13,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-24954","https://morningconsult.com/2016/07/25/trump-surges-past-clinton-post-convention-bump/","Nonpartisan","None","If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton, Republican Donald Trump and Libertarian Gary Johnson, for whom would you vote?",2,NA,NA
"792","--","Morning Consult","2016-07-22","2016-07-24","2016-07-25T11:08:10Z",830,"Registered Voters - Democrat","Internet",8,77,NA,9,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-24954","https://morningconsult.com/2016/07/25/trump-surges-past-clinton-post-convention-bump/","Nonpartisan","None","If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton, Republican Donald Trump and Libertarian Gary Johnson, for whom would you vote?",2,NA,NA
"793","--","Morning Consult","2016-07-22","2016-07-24","2016-07-25T11:08:10Z",796,"Registered Voters - Republican","Internet",82,6,NA,6,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-24954","https://morningconsult.com/2016/07/25/trump-surges-past-clinton-post-convention-bump/","Nonpartisan","None","If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton, Republican Donald Trump and Libertarian Gary Johnson, for whom would you vote?",2,NA,NA
"794","--","Morning Consult","2016-07-22","2016-07-24","2016-07-25T11:08:10Z",876,"Registered Voters - independent","Internet",33,25,NA,23,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-24954","https://morningconsult.com/2016/07/25/trump-surges-past-clinton-post-convention-bump/","Nonpartisan","None","If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton, Republican Donald Trump and Libertarian Gary Johnson, for whom would you vote?",2,NA,NA
"795","--","University of Delaware/PSRAI","2016-07-21","2016-07-24","2016-07-26T20:06:32Z",818,"Registered Voters","Live Phone",42,46,4,8,"http://elections.huffingtonpost.com/pollster/polls/university-of-delaware-psrai-24970","https://www.cpc.udel.edu/content-sub-site/Documents/UD%20CPC%20%20RNC%20poll%20July%2025%20release-cpa.pdf","Nonpartisan","None","Now, suppose the 2016 presidential election were being held TODAY. If you had to choose between [READ AND RANDOMIZE CLINTON/TRUMP] who would you vote for?",1,NA,NA
"796","--","University of Delaware/PSRAI","2016-07-21","2016-07-24","2016-07-26T20:06:32Z",NA,"Registered Voters - Democrat","Live Phone",3,87,2,8,"http://elections.huffingtonpost.com/pollster/polls/university-of-delaware-psrai-24970","https://www.cpc.udel.edu/content-sub-site/Documents/UD%20CPC%20%20RNC%20poll%20July%2025%20release-cpa.pdf","Nonpartisan","None","Now, suppose the 2016 presidential election were being held TODAY. If you had to choose between [READ AND RANDOMIZE CLINTON/TRUMP] who would you vote for?",1,NA,NA
"797","--","University of Delaware/PSRAI","2016-07-21","2016-07-24","2016-07-26T20:06:32Z",NA,"Registered Voters - Republican","Live Phone",85,5,3,8,"http://elections.huffingtonpost.com/pollster/polls/university-of-delaware-psrai-24970","https://www.cpc.udel.edu/content-sub-site/Documents/UD%20CPC%20%20RNC%20poll%20July%2025%20release-cpa.pdf","Nonpartisan","None","Now, suppose the 2016 presidential election were being held TODAY. If you had to choose between [READ AND RANDOMIZE CLINTON/TRUMP] who would you vote for?",1,NA,NA
"798","--","University of Delaware/PSRAI","2016-07-21","2016-07-24","2016-07-26T20:06:32Z",NA,"Registered Voters - independent","Live Phone",33,35,11,20,"http://elections.huffingtonpost.com/pollster/polls/university-of-delaware-psrai-24970","https://www.cpc.udel.edu/content-sub-site/Documents/UD%20CPC%20%20RNC%20poll%20July%2025%20release-cpa.pdf","Nonpartisan","None","Now, suppose the 2016 presidential election were being held TODAY. If you had to choose between [READ AND RANDOMIZE CLINTON/TRUMP] who would you vote for?",1,NA,NA
"799","--","NBC/SurveyMonkey","2016-07-18","2016-07-24","2016-07-26T13:11:13Z",12931,"Registered Voters","Internet",45,46,NA,9,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-24964","https://www.scribd.com/document/319270782/NBC-News-SurveyMonkey-Toplines-and-Methodology-7-18-724?secret_password=MfT45x5rHCWmGNLI3vVQ","Nonpartisan","None","If the 2016 presidential election were being held today among the following candidates, for whom would you vote?",1,NA,NA
"800","--","NBC/SurveyMonkey","2016-07-18","2016-07-24","2016-07-26T13:11:13Z",12931,"Registered Voters","Internet",41,39,5,6,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-24964","https://www.scribd.com/document/319270782/NBC-News-SurveyMonkey-Toplines-and-Methodology-7-18-724?secret_password=MfT45x5rHCWmGNLI3vVQ","Nonpartisan","None","If the 2016 presidential election were being held today among the following candidates for whom would you vote?",2,NA,NA
"801","--","RABA Research","2016-07-22","2016-07-22","2016-07-26T20:44:46Z",909,"Likely Voters","Internet",34,39,3,15,"http://elections.huffingtonpost.com/pollster/polls/raba-research-24974","http://www.rabaresearch.com/documents/RABA-Updated-National-Survey-July-2016.pdf","Nonpartisan","None","If the election for Present were held today, for whom would you vote?",1,NA,NA
"802","--","Gravis Marketing/OANN","2016-07-21","2016-07-22","2016-07-24T21:52:57Z",3462,"Registered Voters","Automated Phone",51,49,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-oann-24953","http://www.oann.com/pollnational/","Sponsor","Rep","",1,NA,NA
"803","--","ARG","2016-07-17","2016-07-20","2016-07-21T14:41:15Z",990,"Registered Voters","Live Phone",42,43,6,9,"http://elections.huffingtonpost.com/pollster/polls/arg-24947","http://americanresearchgroup.com/economy/","Nonpartisan","None","If the election for president were being held today between Hillary Clinton, the Democrat, and Donald Trump, the Republican, for whom would you vote - Clinton or Trump?",1,NA,NA
"804","--","ARG","2016-07-17","2016-07-20","2016-07-21T14:41:15Z",NA,"Registered Voters - Democrat","Live Phone",3,85,4,8,"http://elections.huffingtonpost.com/pollster/polls/arg-24947","http://americanresearchgroup.com/economy/","Nonpartisan","None","If the election for president were being held today between Hillary Clinton, the Democrat, and Donald Trump, the Republican, for whom would you vote - Clinton or Trump?",1,NA,NA
"805","--","ARG","2016-07-17","2016-07-20","2016-07-21T14:41:15Z",NA,"Registered Voters - Republican","Live Phone",77,7,3,13,"http://elections.huffingtonpost.com/pollster/polls/arg-24947","http://americanresearchgroup.com/economy/","Nonpartisan","None","If the election for president were being held today between Hillary Clinton, the Democrat, and Donald Trump, the Republican, for whom would you vote - Clinton or Trump?",1,NA,NA
"806","--","ARG","2016-07-17","2016-07-20","2016-07-21T14:41:15Z",NA,"Registered Voters - independent","Live Phone",51,33,10,6,"http://elections.huffingtonpost.com/pollster/polls/arg-24947","http://americanresearchgroup.com/economy/","Nonpartisan","None","If the election for president were being held today between Hillary Clinton, the Democrat, and Donald Trump, the Republican, for whom would you vote - Clinton or Trump?",1,NA,NA
"807","--","Ipsos/Reuters","2016-07-16","2016-07-20","2016-07-21T16:25:42Z",1232,"Registered Voters","Internet",36,40,13,11,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24949","http://big.assets.huffingtonpost.com/2016ReutersTrackingCorePolitical72016.pdf","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",1,NA,NA
"808","--","Ipsos/Reuters","2016-07-16","2016-07-20","2016-07-21T16:25:42Z",NA,"Registered Voters - Democrat","Internet",10,76,8,8,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24949","http://big.assets.huffingtonpost.com/2016ReutersTrackingCorePolitical72016.pdf","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",1,NA,NA
