state,pollster,number.of.observations,start.date,end.date,obama,mccain,other,undecided,mode,population
IN,Public Policy,1411.00,10/18/08,10/21/08,48,46,4.2,1.8,Live Phone,Registered Voters
IN,Big Ten Battleground,586.00,10/20/08,10/23/08,51,41,5.6,2.4,Live Phone,Registered Voters
IN,SurveyUSA,631.00,10/20/08,10/23/08,49,45,4.2,1.8,Live Phone,Registered Voters
IN,Reuters/Zogby,601.00,10/24/08,10/27/08,44,50,4.2,1.8,Live Phone,Registered Voters
IN,Research 2000,600.00,10/25/08,10/28/08,48,47,3.5,1.5,Live Phone,Registered Voters
IN,Selzer & Co.,606.00,10/26/08,10/29/08,45.9,45.3,6.16,2.64,Live Phone,Registered Voters
IN,Rasmussen,500.00,10/27/08,10/30/08,46,49,3.5,1.5,Live Phone,Registered Voters
IN,American Research Group,600.00,10/29/08,11/1/08,48,48,2.8,1.2,Live Phone,Registered Voters
IN,Public Policy,2634.00,10/31/08,11/3/08,49,48,2.1,0.9,Live Phone,Registered Voters
IN,Reuters/Zogby,603.00,10/31/08,11/3/08,44,49,4.9,2.1,Live Phone,Registered Voters
KS,SurveyUSA,512.00,1/15/08,1/18/08,39,53,5.6,2.4,Live Phone,Registered Voters
KS,SurveyUSA,514.00,2/19/08,2/22/08,44,50,4.2,1.8,Live Phone,Registered Voters
KS,SurveyUSA,516.00,3/17/08,3/20/08,39,51,7,3,Live Phone,Registered Voters
KS,SurveyUSA,516.00,4/14/08,4/17/08,37,54,6.3,2.7,Live Phone,Registered Voters
KS,SurveyUSA,600.00,5/26/08,5/29/08,39,49,8.4,3.6,Live Phone,Registered Voters
KS,Rasmussen,500.00,6/13/08,6/16/08,37,47,11.2,4.8,Live Phone,Registered Voters
KS,Rasmussen,500.00,7/13/08,7/16/08,32,52,11.2,4.8,Live Phone,Registered Voters
KS,Rasmussen,500.00,8/10/08,8/13/08,37,52,7.7,3.3,Live Phone,Registered Voters
KS,SurveyUSA,641.00,8/18/08,8/21/08,35,58,4.9,2.1,Live Phone,Registered Voters
KS,American Research,600.00,9/14/08,9/17/08,31,63,4.2,1.8,Live Phone,Registered Voters
KS,Rasmussen,500.00,9/20/08,9/23/08,38,58,2.8,1.2,Live Phone,Registered Voters
KS,SurveyUSA,666.00,9/20/08,9/23/08,41,53,4.2,1.8,Live Phone,Registered Voters
KS,Rasmussen,500.00,10/12/08,10/15/08,41,54,3.5,1.5,Live Phone,Registered Voters
KS,Rasmussen,613.00,10/20/08,10/23/08,41,53,4.2,1.8,Live Phone,Registered Voters
KS,SurveyUSA,626.00,10/26/08,10/29/08,37,58,3.5,1.5,Live Phone,Registered Voters
KY,SurveyUSA,540.00,2/2/08,2/5/08,32,61,4.9,2.1,Live Phone,Registered Voters
KY,SurveyUSA,535.00,3/16/08,3/19/08,28,64,5.6,2.4,Live Phone,Registered Voters
KY,SurveyUSA,538.00,4/14/08,4/17/08,29,63,5.6,2.4,Live Phone,Registered Voters
KY,Rasmussen,500.00,5/25/08,5/28/08,32,57,7.7,3.3,Live Phone,Registered Voters
KY,SurveyUSA,626.00,6/14/08,6/17/08,41,53,4.2,1.8,Live Phone,Registered Voters
KY,Rasmussen,500.00,6/24/08,6/27/08,35,51,9.8,4.2,Live Phone,Registered Voters
KY,Rasmussen,500.00,7/28/08,7/31/08,39,49,8.4,3.6,Live Phone,Registered Voters
KY,SurveyUSA,636.00,8/9/08,8/12/08,37,55,5.6,2.4,Live Phone,Registered Voters
KY,American Research,600.00,9/14/08,9/17/08,37,57,4.2,1.8,Live Phone,Registered Voters
KY,SurveyUSA,672.00,9/20/08,9/23/08,38,57,3.5,1.5,Live Phone,Registered Voters
KY,Mason-Dixon,717.00,9/25/08,9/28/08,41,53,4.2,1.8,Live Phone,Registered Voters
KY,Rasmussen,500.00,9/29/08,10/2/08,42,52,4.2,1.8,Live Phone,Registered Voters
KY,SurveyUSA,535.00,10/18/08,10/21/08,41,54,3.5,1.5,Live Phone,Registered Voters
KY,Rasmussen,500.00,10/19/08,10/22/08,44,52,2.8,1.2,Live Phone,Registered Voters
KY,Research 2000,600.00,10/21/08,10/24/08,39,55,4.2,1.8,Live Phone,Registered Voters
KY,Rasmussen,500.00,10/27/08,10/30/08,43,55,1.4,0.6,Live Phone,Registered Voters
KY,Mason-Dixon,817.00,10/29/08,11/1/08,42,51,4.9,2.1,Live Phone,Registered Voters
KY,SurveyUSA,616.00,10/30/08,11/2/08,40,56,2.8,1.2,Live Phone,Registered Voters
LA,SurveyUSA,600.00,3/3/08,3/6/08,39,54,4.9,2.1,Live Phone,Registered Voters
LA,Rasmussen,500.00,4/6/08,4/9/08,41,52,4.9,2.1,Live Phone,Registered Voters
LA,Southern Media & Opinion,600.00,6/28/08,7/1/08,36,52,8.4,3.6,Live Phone,Registered Voters
LA,Rasmussen,500.00,7/11/08,7/14/08,34,54,8.4,3.6,Live Phone,Registered Voters
LA,Rasmussen,500.00,8/16/08,8/19/08,38,55,4.9,2.1,Live Phone,Registered Voters
LA,American Research,600.00,9/14/08,9/17/08,43,50,4.9,2.1,Live Phone,Registered Voters
LA,Rasmussen,700.00,9/24/08,9/27/08,40,55,3.5,1.5,Live Phone,Registered Voters
LA,Rasmussen,500.00,10/20/08,10/23/08,41,57,1.4,0.6,Live Phone,Registered Voters
MA,SurveyUSA,562.00,1/20/08,1/23/08,45,50,3.5,1.5,Live Phone,Registered Voters
MA,SurveyUSA,562.00,2/19/08,2/22/08,48,46,4.2,1.8,Live Phone,Registered Voters
MA,Rasmussen,500.00,3/15/08,3/18/08,49,42,6.3,2.7,Live Phone,Registered Voters
MA,SurveyUSA,510.00,3/17/08,3/20/08,47,47,4.2,1.8,Live Phone,Registered Voters
MA,SurveyUSA,546.00,4/14/08,4/17/08,48,46,4.2,1.8,Live Phone,Registered Voters
MA,Rasmussen,500.00,5/29/08,6/1/08,51,38,7.7,3.3,Live Phone,Registered Voters
MA,SurveyUSA,607.00,6/27/08,6/30/08,53,40,4.9,2.1,Live Phone,Registered Voters
MA,Rasmussen,500.00,8/4/08,8/7/08,51,36,9.1,3.9,Live Phone,Registered Voters
MA,American Research,600.00,9/20/08,9/23/08,55,39,4.2,1.8,Live Phone,Registered Voters
MA,SurveyUSA,679.00,9/21/08,9/24/08,55,39,4.2,1.8,Live Phone,Registered Voters
MA,Rasmussen,500.00,9/22/08,9/25/08,58,38,2.8,1.2,Live Phone,Registered Voters
MA,Rasmussen,500.00,10/12/08,10/15/08,58,38,2.8,1.2,Live Phone,Registered Voters
MA,SurveyUSA,624.00,10/12/08,10/15/08,59,35,4.2,1.8,Live Phone,Registered Voters
MD,Rasmussen,500.00,1/5/08,1/8/08,48,42,7,3,Live Phone,Registered Voters
MD,SurveyUSA,600.00,3/3/08,3/6/08,53,40,4.9,2.1,Live Phone,Registered Voters
MD,Rasmussen,500.00,8/17/08,8/20/08,53,41,4.2,1.8,Live Phone,Registered Voters
MD,Gonzales,833.00,9/6/08,9/9/08,52,38,7,3,Live Phone,Registered Voters
MD,American Research,600.00,9/17/08,9/20/08,54,39,4.9,2.1,Live Phone,Registered Voters
MD,Rasmussen,500.00,9/21/08,9/24/08,60,37,2.1,0.9,Live Phone,Registered Voters
ME,SurveyUSA,600.00,3/3/08,3/6/08,53,39,5.6,2.4,Live Phone,Registered Voters
ME,Rasmussen,500.00,5/13/08,5/16/08,51,38,7.7,3.3,Live Phone,Registered Voters
ME,Rasmussen,500.00,6/15/08,6/18/08,55,33,8.4,3.6,Live Phone,Registered Voters
ME,Rasmussen,500.00,7/15/08,7/18/08,46,36,12.6,5.4,Live Phone,Registered Voters
ME,Rasmussen,500.00,8/12/08,8/15/08,49,36,10.5,4.5,Live Phone,Registered Voters
ME,American Research,600.00,9/14/08,9/17/08,51,41,5.6,2.4,Live Phone,Registered Voters
ME,Rasmussen,500.00,9/16/08,9/19/08,50,46,2.8,1.2,Live Phone,Registered Voters
ME,SurveyUSA,675.00,9/21/08,9/24/08,49,44,4.9,2.1,Live Phone,Registered Voters
ME,Rasmussen,500.00,10/1/08,10/4/08,51,46,2.1,0.9,Live Phone,Registered Voters
ME,SurveyUSA,642.00,10/18/08,10/21/08,54,39,4.9,2.1,Live Phone,Registered Voters
ME,Rasmussen,500.00,10/30/08,11/2/08,56,43,0.7,0.3,Live Phone,Registered Voters
MI,Rasmussen,500.00,2/17/08,2/20/08,47,39,9.8,4.2,Live Phone,Registered Voters
MI,Rasmussen,500.00,3/7/08,3/10/08,41,44,10.5,4.5,Live Phone,Registered Voters
MI,Rasmussen,500.00,3/14/08,3/17/08,41,44,10.5,4.5,Live Phone,Registered Voters
MI,Rasmussen,500.00,5/8/08,5/11/08,44,45,7.7,3.3,Live Phone,Registered Voters
MI,Rasmussen,500.00,6/8/08,6/11/08,45,42,9.1,3.9,Live Phone,Registered Voters
MI,Quinnipiac/WSJ/Wash. Post,1411.00,6/23/08,6/26/08,48,42,7,3,Live Phone,Registered Voters
MI,Rasmussen,500.00,7/11/08,7/14/08,47,39,9.8,4.2,Live Phone,Registered Voters
MI,Epic/Detroit News,600.00,7/12/08,7/15/08,43,41,11.2,4.8,Live Phone,Registered Voters
MI,Quinnipiac/WSJ/Wash. Post,1684.00,7/21/08,7/24/08,46,42,8.4,3.6,Live Phone,Registered Voters
MI,Rasmussen,500.00,8/2/08,8/5/08,47,40,9.1,3.9,Live Phone,Registered Voters
MI,Selzer & Co.,600.00,8/17/08,8/20/08,46,39,10.5,4.5,Live Phone,Registered Voters
MI,Zogby,609.00,8/19/08,8/22/08,46,37,11.9,5.1,Live Phone,Registered Voters
MI,Epic/Detroit News,600.00,8/22/08,8/25/08,43,41,11.2,4.8,Live Phone,Registered Voters
MI,Public Policy,1147.00,9/4/08,9/7/08,47,46,4.9,2.1,Live Phone,Registered Voters
MI,Strategic Vision,1200.00,9/6/08,9/9/08,45,44,7.7,3.3,Live Phone,Registered Voters
MI,CNN/Time,966.00,9/7/08,9/10/08,49,45,4.2,1.8,Live Phone,Registered Voters
MI,Rasmussen,500.00,9/8/08,9/11/08,51,46,2.1,0.9,Live Phone,Registered Voters
MI,Big Ten Battleground,600.00,9/15/08,9/18/08,48,44,5.6,2.4,Live Phone,Registered Voters
MI,American Research,600.00,9/17/08,9/20/08,48,46,4.2,1.8,Live Phone,Registered Voters
MI,Epic/Detroit News,602.00,9/17/08,9/20/08,45,42,9.1,3.9,Live Phone,Registered Voters
MI,FOX/Rasmussen,500.00,9/19/08,9/22/08,51,44,3.5,1.5,Live Phone,Registered Voters
MI,Quinnipiac/WSJ/Wash. Post,1364.00,9/20/08,9/23/08,48,44,5.6,2.4,Live Phone,Registered Voters
MI,CNN/Time,755.00,9/21/08,9/24/08,51,46,2.1,0.9,Live Phone,Registered Voters
MI,Detroit Free Press (Selzer),602.00,9/23/08,9/26/08,51,38,7.7,3.3,Live Phone,Registered Voters
MI,Strategic Vision,1200.00,9/23/08,9/26/08,48,45,4.9,2.1,Live Phone,Registered Voters
MI,Public Policy,731.00,9/29/08,10/2/08,51,41,5.6,2.4,Live Phone,Registered Voters
MI,Rasmussen,500.00,10/6/08,10/9/08,56,40,2.8,1.2,Live Phone,Registered Voters
MI,Quinnipiac/WSJ/Wash. Post,1043.00,10/11/08,10/14/08,54,38,5.6,2.4,Live Phone,Registered Voters
MI,Big Ten Battleground,562.00,10/20/08,10/23/08,58,36,4.2,1.8,Live Phone,Registered Voters
MI,Rasmussen,500.00,10/26/08,10/29/08,53,43,2.8,1.2,Live Phone,Registered Voters
MI,EPIC/Detroit News,600.00,10/28/08,10/31/08,50,38,8.4,3.6,Live Phone,Registered Voters
MI,Public Policy,1532.00,10/28/08,10/31/08,55,42,2.1,0.9,Live Phone,Registered Voters
MI,Strategic Vision,1200.00,10/28/08,10/31/08,54,41,3.5,1.5,Live Phone,Registered Voters
MI,Selzer & Co.,616.00,10/30/08,11/2/08,53,37,7,3,Live Phone,Registered Voters
MN,SurveyUSA,550.00,1/20/08,1/23/08,42,49,6.3,2.7,Live Phone,Registered Voters
MN,Rasmussen,500.00,2/13/08,2/16/08,53,38,6.3,2.7,Live Phone,Registered Voters
MN,SurveyUSA,532.00,3/17/08,3/20/08,46,47,4.9,2.1,Live Phone,Registered Voters
MN,SurveyUSA,535.00,4/14/08,4/17/08,49,43,5.6,2.4,Live Phone,Registered Voters
MN,Minn. Star-Tribune,1117.00,5/12/08,5/15/08,51,38,7.7,3.3,Live Phone,Registered Voters
MN,SurveyUSA,600.00,5/30/08,6/2/08,47,42,7.7,3.3,Live Phone,Registered Voters
MN,Rasmussen,500.00,6/10/08,6/13/08,52,39,6.3,2.7,Live Phone,Registered Voters
MN,Quinnipiac/WSJ/Wash. Post,1572.00,6/23/08,6/26/08,54,37,6.3,2.7,Live Phone,Registered Voters
MN,Rasmussen,500.00,7/11/08,7/14/08,52,34,9.8,4.2,Live Phone,Registered Voters
MN,Rasmussen,500.00,7/20/08,7/23/08,49,39,8.4,3.6,Live Phone,Registered Voters
MN,Quinnipiac/WSJ/Wash. Post,1261.00,7/21/08,7/24/08,46,44,7,3,Live Phone,Registered Voters
MN,Rasmussen,500.00,8/11/08,8/14/08,46,42,8.4,3.6,Live Phone,Registered Voters
MN,SurveyUSA,682.00,8/12/08,8/15/08,47,45,5.6,2.4,Live Phone,Registered Voters
MN,SurveyUSA,734.00,8/12/08,8/15/08,49,47,2.8,1.2,Live Phone,Registered Voters
MN,Univ. of Minnesota,763.00,8/14/08,8/17/08,48,38,9.8,4.2,Live Phone,Registered Voters
MN,CNN/Time,742.00,8/31/08,9/3/08,53,41,4.2,1.8,Live Phone,Registered Voters
MN,Minn. Star-Tribune,1106.00,9/11/08,9/14/08,45,45,7,3,Live Phone,Registered Voters
MN,Big Ten Battleground,600.00,9/15/08,9/18/08,47,45,5.6,2.4,Live Phone,Registered Voters
MN,American Research,600.00,9/18/08,9/21/08,48,47,3.5,1.5,Live Phone,Registered Voters
MN,Rasmussen,500.00,9/19/08,9/22/08,52,44,2.8,1.2,Live Phone,Registered Voters
MN,Quinnipiac/WSJ/Wash. Post,1301.00,9/20/08,9/23/08,47,45,5.6,2.4,Live Phone,Registered Voters
MN,CNN/Time,849.00,9/28/08,10/1/08,54,43,2.1,0.9,Live Phone,Registered Voters
MN,SurveyUSA,725.00,9/30/08,10/3/08,46,47,4.9,2.1,Live Phone,Registered Voters
MN,Minn. Star-Tribune,1084.00,10/2/08,10/5/08,55,37,5.6,2.4,Live Phone,Registered Voters
MN,Rasmussen,500.00,10/5/08,10/8/08,52,45,2.1,0.9,Live Phone,Registered Voters
MN,American Research,600.00,10/6/08,10/9/08,47,46,4.9,2.1,Live Phone,Registered Voters
MN,Quinnipiac/WSJ/Wash. Post,1019.00,10/11/08,10/14/08,51,40,6.3,2.7,Live Phone,Registered Voters
MN,Minn. Star-Tribune,1049.00,10/16/08,10/19/08,52,41,4.9,2.1,Live Phone,Registered Voters
MN,SurveyUSA,655.00,10/16/08,10/19/08,50,44,4.2,1.8,Live Phone,Registered Voters
MN,Big Ten Battleground,583.00,10/20/08,10/23/08,57,38,3.5,1.5,Live Phone,Registered Voters
MN,Rasmussen,500.00,10/20/08,10/23/08,56,41,2.1,0.9,Live Phone,Registered Voters
MN,Rasmussen,500.00,10/26/08,10/29/08,55,43,1.4,0.6,Live Phone,Registered Voters
MN,Mason-Dixon,625.00,10/27/08,10/30/08,48,40,8.4,3.6,Live Phone,Registered Voters
MN,Public Policy,1050.00,10/28/08,10/31/08,57,41,1.4,0.6,Live Phone,Registered Voters
MN,SurveyUSA,669.00,10/30/08,11/2/08,49,46,3.5,1.5,Live Phone,Registered Voters
MO,SurveyUSA,562.00,1/11/08,1/14/08,40,51,6.3,2.7,Live Phone,Registered Voters
MO,Rasmussen,500.00,2/9/08,2/12/08,40,42,12.6,5.4,Live Phone,Registered Voters
MO,SurveyUSA,536.00,3/16/08,3/19/08,39,53,5.6,2.4,Live Phone,Registered Voters
MO,SurveyUSA,542.00,4/14/08,4/17/08,42,50,5.6,2.4,Live Phone,Registered Voters
MO,SurveyUSA,1523.00,5/16/08,5/19/08,45,48,4.9,2.1,Live Phone,Registered Voters
MO,Rasmussen,500.00,6/3/08,6/6/08,43,42,10.5,4.5,Live Phone,Registered Voters
MO,SurveyUSA,543.00,6/22/08,6/25/08,43,50,4.9,2.1,Live Phone,Registered Voters
MO,Rasmussen,500.00,7/6/08,7/9/08,42,47,7.7,3.3,Live Phone,Registered Voters
MO,Research 2000,800.00,7/9/08,7/12/08,48,43,6.3,2.7,Live Phone,Registered Voters
MO,SurveyUSA,1459.00,7/29/08,8/1/08,44,49,4.9,2.1,Live Phone,Registered Voters
MO,Rasmussen,500.00,8/5/08,8/8/08,41,48,7.7,3.3,Live Phone,Registered Voters
MO,CNN/Time,940.00,9/7/08,9/10/08,45,50,3.5,1.5,Live Phone,Registered Voters
MO,Rasmussen,500.00,9/8/08,9/11/08,46,51,2.1,0.9,Live Phone,Registered Voters
MO,American Research,600.00,9/14/08,9/17/08,45,50,3.5,1.5,Live Phone,Registered Voters
MO,Research 2000,800.00,9/18/08,9/21/08,45,49,4.2,1.8,Live Phone,Registered Voters
MO,SurveyUSA,705.00,9/22/08,9/25/08,46,48,4.2,1.8,Live Phone,Registered Voters
MO,CNN/Time,744.00,9/28/08,10/1/08,49,48,2.1,0.9,Live Phone,Registered Voters
MO,FOX/Rasmussen,1000.00,10/2/08,10/5/08,50,47,2.1,0.9,Live Phone,Registered Voters
MO,American Research,600.00,10/6/08,10/9/08,46,49,3.5,1.5,Live Phone,Registered Voters
MO,FOX/Rasmussen,1000.00,10/9/08,10/12/08,50,47,2.1,0.9,Live Phone,Registered Voters
MO,SurveyUSA,546.00,10/10/08,10/13/08,51,43,4.2,1.8,Live Phone,Registered Voters
MO,Public Policy,1009.00,10/11/08,10/14/08,48,46,4.2,1.8,Live Phone,Registered Voters
MO,CNN/Time,763.00,10/12/08,10/15/08,48,49,2.1,0.9,Live Phone,Registered Voters
MO,Rasmussen,700.00,10/14/08,10/17/08,52,46,1.4,0.6,Live Phone,Registered Voters
MO,FOX/Rasmussen,1000.00,10/16/08,10/19/08,49,44,4.9,2.1,Live Phone,Registered Voters
MO,Suffolk Univ.,600.00,10/17/08,10/20/08,44,45,7.7,3.3,Live Phone,Registered Voters
MO,Mason-Dixon,625.00,10/20/08,10/23/08,45,46,6.3,2.7,Live Phone,Registered Voters
MO,FOX/Rasmussen,1000.00,10/23/08,10/26/08,48,47,3.5,1.5,Live Phone,Registered Voters
MO,Research 2000,600.00,10/23/08,10/26/08,48,47,3.5,1.5,Live Phone,Registered Voters
MO,Reuters/Zogby,600.00,10/24/08,10/27/08,48,46,4.2,1.8,Live Phone,Registered Voters
MO,SurveyUSA,672.00,10/24/08,10/27/08,48,48,2.8,1.2,Live Phone,Registered Voters
MO,CNN/Time,825.00,10/26/08,10/29/08,48,50,1.4,0.6,Live Phone,Registered Voters
MO,American Research,600.00,10/28/08,10/31/08,48,48,2.8,1.2,Live Phone,Registered Voters
MO,FOX/Rasmussen,1000.00,10/30/08,11/2/08,49,48,2.1,0.9,Live Phone,Registered Voters
MO,Mason-Dixon,625.00,10/30/08,11/2/08,46,47,4.9,2.1,Live Phone,Registered Voters
MO,Public Policy,1343.00,10/31/08,11/3/08,49,49,1.4,0.6,Live Phone,Registered Voters
MO,Reuters/Zogby,602.00,10/31/08,11/3/08,47,46,4.9,2.1,Live Phone,Registered Voters
MO,SurveyUSA,674.00,10/31/08,11/3/08,48,48,2.8,1.2,Live Phone,Registered Voters
MS,SurveyUSA,600.00,3/3/08,3/6/08,41,54,3.5,1.5,Live Phone,Registered Voters
MS,Rasmussen,500.00,5/26/08,5/29/08,44,50,4.2,1.8,Live Phone,Registered Voters
MS,Rasmussen,500.00,6/23/08,6/26/08,44,50,4.2,1.8,Live Phone,Registered Voters
MS,Rasmussen,500.00,7/27/08,7/30/08,41,52,4.9,2.1,Live Phone,Registered Voters
MS,Rasmussen,500.00,8/20/08,8/23/08,41,54,3.5,1.5,Live Phone,Registered Voters
MS,American Research,600.00,9/14/08,9/17/08,39,55,4.2,1.8,Live Phone,Registered Voters
MS,Rasmussen,500.00,9/28/08,10/1/08,44,52,2.8,1.2,Live Phone,Registered Voters
MS,Rasmussen,500.00,10/25/08,10/28/08,45,53,1.4,0.6,Live Phone,Registered Voters
MT,SurveyUSA,600.00,3/3/08,3/6/08,39,47,9.8,4.2,Live Phone,Registered Voters
MT,Mason-Dixon,625.00,5/18/08,5/21/08,39,47,9.8,4.2,Live Phone,Registered Voters
MT,Rasmussen,500.00,6/30/08,7/3/08,48,43,6.3,2.7,Live Phone,Registered Voters
MT,Rasmussen,500.00,7/28/08,7/31/08,44,45,7.7,3.3,Live Phone,Registered Voters
MT,Rasmussen,500.00,9/6/08,9/9/08,42,53,3.5,1.5,Live Phone,Registered Voters
MT,American Research,600.00,9/14/08,9/17/08,47,49,2.8,1.2,Live Phone,Registered Voters
MT,CNN/Time,737.00,9/21/08,9/24/08,43,54,2.1,0.9,Live Phone,Registered Voters
MT,Rasmussen,500.00,9/29/08,10/2/08,44,52,2.8,1.2,Live Phone,Registered Voters
MT,American Research,600.00,10/6/08,10/9/08,45,50,3.5,1.5,Live Phone,Registered Voters
MT,Mason-Dixon,625.00,10/25/08,10/28/08,44,48,5.6,2.4,Live Phone,Registered Voters
MT,Rasmussen,500.00,10/27/08,10/30/08,46,50,2.8,1.2,Live Phone,Registered Voters
MT,American Research,600.00,10/28/08,10/31/08,46,49,3.5,1.5,Live Phone,Registered Voters
MT,Public Policy,2734.00,10/31/08,11/3/08,48,47,3.5,1.5,Live Phone,Registered Voters
NC,SurveyUSA,600.00,3/3/08,3/6/08,45,47,5.6,2.4,Live Phone,Registered Voters
NC,Rasmussen,500.00,3/17/08,3/20/08,42,51,4.9,2.1,Live Phone,Registered Voters
NC,Rasmussen,500.00,4/7/08,4/10/08,47,47,4.2,1.8,Live Phone,Registered Voters
NC,Rasmussen,500.00,5/9/08,5/12/08,45,48,4.9,2.1,Live Phone,Registered Voters
NC,SurveyUSA,713.00,5/17/08,5/20/08,43,51,4.2,1.8,Live Phone,Registered Voters
NC,Rasmussen,500.00,6/9/08,6/12/08,43,45,8.4,3.6,Live Phone,Registered Voters
NC,Civitas Institute,600.00,6/10/08,6/13/08,41,45,9.8,4.2,Live Phone,Registered Voters
NC,SurveyUSA,676.00,7/12/08,7/15/08,45,50,3.5,1.5,Live Phone,Registered Voters
NC,Civitas,800.00,7/13/08,7/16/08,40,43,11.9,5.1,Live Phone,Registered Voters
NC,Rasmussen,500.00,7/14/08,7/17/08,42,45,9.1,3.9,Live Phone,Registered Voters
NC,Rasmussen,500.00,8/12/08,8/15/08,42,46,8.4,3.6,Live Phone,Registered Voters
NC,Civitas,600.00,8/14/08,8/17/08,44,50,4.2,1.8,Live Phone,Registered Voters
NC,Zogby,604.00,8/19/08,8/22/08,47,39,9.8,4.2,Live Phone,Registered Voters
NC,SurveyUSA,671.00,9/6/08,9/9/08,38,58,2.8,1.2,Live Phone,Registered Voters
NC,Public Policy,626.00,9/7/08,9/10/08,44,48,5.6,2.4,Live Phone,Registered Voters
NC,Civitas,600.00,9/8/08,9/11/08,44,47,6.3,2.7,Live Phone,Registered Voters
NC,American Research,600.00,9/14/08,9/17/08,41,52,4.9,2.1,Live Phone,Registered Voters
NC,CNN/Time,910.00,9/14/08,9/17/08,47,48,3.5,1.5,Live Phone,Registered Voters
NC,Public Policy,1060.00,9/17/08,9/20/08,46,46,5.6,2.4,Live Phone,Registered Voters
NC,Rasmussen,500.00,9/19/08,9/22/08,47,50,2.1,0.9,Live Phone,Registered Voters
NC,Civitas,600.00,9/20/08,9/23/08,46,46,5.6,2.4,Live Phone,Registered Voters
NC,Rasmussen,500.00,9/22/08,9/25/08,49,47,2.8,1.2,Live Phone,Registered Voters
NC,Public Policy,1041.00,9/26/08,9/29/08,47,45,5.6,2.4,Live Phone,Registered Voters
NC,Public Policy,1202.00,9/26/08,9/29/08,50,44,4.2,1.8,Live Phone,Registered Voters
NC,American Research,600.00,9/27/08,9/30/08,46,49,3.5,1.5,Live Phone,Registered Voters
NC,Rasmussen,700.00,9/29/08,10/2/08,50,47,2.1,0.9,Live Phone,Registered Voters
NC,CNN/Time,666.00,10/4/08,10/7/08,49,49,1.4,0.6,Live Phone,Registered Voters
NC,Public Policy,1202.00,10/4/08,10/7/08,50,44,4.2,1.8,Live Phone,Registered Voters
NC,SurveyUSA,617.00,10/4/08,10/7/08,46,49,3.5,1.5,Live Phone,Registered Voters
NC,Civitas,600.00,10/6/08,10/9/08,48,43,6.3,2.7,Live Phone,Registered Voters
NC,Rasmussen,700.00,10/6/08,10/9/08,49,48,2.1,0.9,Live Phone,Registered Voters
NC,FOX/Rasmussen,1000.00,10/9/08,10/12/08,48,48,2.8,1.2,Live Phone,Registered Voters
NC,Public Policy,1196.00,10/11/08,10/14/08,49,46,3.5,1.5,Live Phone,Registered Voters
NC,FOX/Rasmussen,1000.00,10/16/08,10/19/08,51,48,0.7,0.3,Live Phone,Registered Voters
NC,Public Policy,1200.00,10/17/08,10/20/08,51,44,3.5,1.5,Live Phone,Registered Voters
NC,Civitas,600.00,10/18/08,10/21/08,48,45,4.9,2.1,Live Phone,Registered Voters
NC,SurveyUSA,627.00,10/18/08,10/21/08,47,47,4.2,1.8,Live Phone,Registered Voters
NC,CNN/Time,644.00,10/19/08,10/22/08,51,47,1.4,0.6,Live Phone,Registered Voters
NC,Rasmussen,700.00,10/21/08,10/24/08,48,50,1.4,0.6,Live Phone,Registered Voters
NC,FOX/Rasmussen,1000.00,10/23/08,10/26/08,48,49,2.1,0.9,Live Phone,Registered Voters
NC,Public Policy,1038.00,10/24/08,10/27/08,49,48,2.1,0.9,Live Phone,Registered Voters
NC,Reuters/Zogby,601.00,10/24/08,10/27/08,50,46,2.8,1.2,Live Phone,Registered Voters
NC,AP-GfK Battleground,792.00,10/26/08,10/29/08,48,46,4.2,1.8,Live Phone,Registered Voters
NC,Civitas,600.00,10/27/08,10/30/08,47,46,4.9,2.1,Live Phone,Registered Voters
NC,CNN/Time,667.00,10/27/08,10/30/08,52,46,1.4,0.6,Live Phone,Registered Voters
NC,Rasmussen,1000.00,10/27/08,10/30/08,50,48,1.4,0.6,Live Phone,Registered Voters
NC,FOX/Rasmussen,1000.00,10/30/08,11/2/08,50,48,1.4,0.6,Live Phone,Registered Voters
NC,Mason-Dixon,625.00,10/30/08,11/2/08,46,49,3.5,1.5,Live Phone,Registered Voters
NC,American Research,600.00,10/31/08,11/3/08,48,49,2.1,0.9,Live Phone,Registered Voters
NC,Public Policy,2100.00,10/31/08,11/3/08,50,49,0.7,0.3,Live Phone,Registered Voters
NC,Reuters/Zogby,600.00,10/31/08,11/3/08,48,49,2.1,0.9,Live Phone,Registered Voters
NC,SurveyUSA,682.00,10/31/08,11/3/08,48,49,2.1,0.9,Live Phone,Registered Voters
ND,SurveyUSA,600.00,3/3/08,3/6/08,46,42,8.4,3.6,Live Phone,Registered Voters
ND,Dakota Wesleyan,260.00,3/31/08,4/3/08,38,44,12.6,5.4,Live Phone,Registered Voters
ND,Rasmussen,500.00,7/7/08,7/10/08,43,43,9.8,4.2,Live Phone,Registered Voters
ND,Rasmussen,500.00,9/7/08,9/10/08,41,55,2.8,1.2,Live Phone,Registered Voters
ND,American Reseach,600.00,9/16/08,9/19/08,43,52,3.5,1.5,Live Phone,Registered Voters
ND,Minnesota State Univ.,606.00,10/10/08,10/13/08,45,43,8.4,3.6,Live Phone,Registered Voters
NE,SurveyUSA,600.00,3/3/08,3/6/08,42,45,9.1,3.9,Live Phone,Registered Voters
