state,pollster,number.of.observations,start.date,end.date,obama,romney,other,undecided,mode,population
MI,Public Policy,579,7/25/12,7/28/12,53,39,8,0,Live Phone,Registered Voters
PA,Public Policy,758,7/25/12,7/28/12,49,43,8,0,Live Phone,Registered Voters
OH,Magellan Strategies,597,7/25/12,7/28/12,45,43,12,0,Live Phone,Likely Voters
MI,Mitchell Research,825,7/25/12,7/28/12,44,45,11,0,Live Phone,Likely Voters
IL,Crain's/Ipsos,600,7/26/12,7/29/12,51,31,18,0,Live Phone,Registered Voters
NJ,Monmouth University,535,7/26/12,7/29/12,50,42,8,0,Live Phone,Likely Voters
NV,Rasmussen,500,7/26/12,7/29/12,50,45,5,0,Live Phone,Likely Voters
MO,We Ask America,1172,7/26/12,7/29/12,40,49,11,0,Live Phone,Likely Voters
WI,Rasmussen,500,7/27/12,7/30/12,49,46,5,0,Live Phone,Likely Voters
OH,We Ask America,1115,7/27/12,7/30/12,48,40,12,0,Live Phone,Likely Voters
ND,DFM Research,400,7/27/12,7/30/12,35,54,11,0,Live Phone,Registered Voters
--,Daily Kos & SEIU/PPP,1000,7/26/12,7/31/12,48,47,0,2,Live Phone,Likely Voters
PA,Susquehanna Polling & Research,800,7/28/12,7/31/12,46,43,11,0,Live Phone,Likely Voters
MO,Mason-Dixon,625,7/28/12,7/31/12,42,51,7,0,Live Phone,Likely Voters
FL,Public Policy,871,7/31/12,8/3/12,48,47,5,0,Live Phone,Likely Voters
MO,Rasmussen,500,7/31/12,8/3/12,44,50,6,0,Live Phone,Likely Voters
PA,Quinnipiac,1168,8/1/12,8/4/12,53,42,5,0,Live Phone,Likely Voters
CT,Public Policy,771,8/1/12,8/4/12,51,43,6,0,Live Phone,Likely Voters
FL,Quinnipiac,1177,8/1/12,8/4/12,51,45,4,0,Live Phone,Likely Voters
OH,Quinnipiac,1193,8/1/12,8/4/12,50,44,6,0,Live Phone,Likely Voters
MI,EPIC-MRA,600,8/1/12,8/4/12,48,42,10,0,Live Phone,Likely Voters
AZ,Public Policy,833,8/1/12,8/4/12,41,52,7,0,Live Phone,Registered Voters
AL,Research Consultants,600,8/1/12,8/4/12,34,59,7,0,Live Phone,Registered Voters
NJ,Fairleigh Dickinson U.,945,8/2/12,8/5/12,49,36,15,0,Live Phone,Registered Voters
NC,Rasmussen,500,8/2/12,8/5/12,44,49,7,0,Live Phone,Likely Voters
WA,SurveyUSA,524,8/3/12,8/6/12,54,37,9,0,Live Phone,Likely Voters
--,Gallup ,3050,8/1/12,8/6/12,47,46,2,4,Live Phone,Likely Voters
SD,Nielson Brothers,546,8/3/12,8/6/12,43,49,8,0,Live Phone,Registered Voters
--,Reuters/Ipsos,1014,8/2/12,8/7/12,49,42,2,6,Live Phone,Likely Voters
--,Daily Kos & SEIU/PPP,1000,8/2/12,8/7/12,48,46,0,4,Live Phone,Likely Voters
--,Rasmussen ,1500,8/3/12,8/8/12,47,45,2,4,Live Phone,Likely Voters
IN,Rasmussen,400,8/5/12,8/8/12,35,51,14,0,Live Phone,Likely Voters
CO,Public Policy,779,8/7/12,8/10/12,49,43,8,0,Live Phone,Likely Voters
NC,Public Policy,813,8/7/12,8/10/12,49,46,5,0,Live Phone,Likely Voters
--,Fox News,930,8/5/12,8/10/12,49,40,2,6,Live Phone,Likely Voters
--,Politico/George Washington University,1000,8/5/12,8/10/12,48,47,0,2,Live Phone,Likely Voters
CO,Rasmussen,500,8/7/12,8/10/12,47,47,6,0,Live Phone,Likely Voters
WI,Quinnipiac,1428,8/8/12,8/11/12,51,45,4,0,Live Phone,Likely Voters
WI,Marquette Univ. Law School,1188,8/8/12,8/11/12,50,45,5,0,Live Phone,Likely Voters
VA,Quinnipiac,1412,8/8/12,8/11/12,49,45,6,0,Live Phone,Likely Voters
VA,Rasmussen,500,8/8/12,8/11/12,48,46,6,0,Live Phone,Likely Voters
CO,Quinnipiac,1463,8/8/12,8/11/12,45,50,5,0,Live Phone,Likely Voters
--,CNN/Opinion Research,911,8/7/12,8/12/12,52,45,0,2,Live Phone,Likely Voters
--,IBD/CSM/TIPP,828,8/8/12,8/13/12,46,39,4,10,Live Phone,Likely Voters
--,Gallup ,3050,8/8/12,8/13/12,45,47,2,4,Live Phone,Likely Voters
IA,Rasmussen,500,8/10/12,8/13/12,44,46,10,0,Live Phone,Likely Voters
MO,Chilenski Strategies,663,8/12/12,8/15/12,47,48,5,0,Live Phone,Likely Voters
MO,SurveyUSA,585,8/12/12,8/15/12,44,45,11,0,Live Phone,Likely Voters
NH,Granite State Poll - Univ. of NH,555,8/13/12,8/16/12,49,46,5,0,Live Phone,Likely Voters
--,YouGov,1000,8/11/12,8/16/12,47,43,2,6,Live Phone,Likely Voters
NH,Public Policy,1055,8/14/12,8/17/12,51,45,4,0,Live Phone,Likely Voters
OH,Public Policy,961,8/14/12,8/17/12,48,45,7,0,Live Phone,Likely Voters
OH,Rasmussen,500,8/14/12,8/17/12,45,45,10,0,Live Phone,Likely Voters
--,Rasmussen ,1500,8/12/12,8/17/12,43,47,2,6,Live Phone,Likely Voters
CO,Purple Strategies,600,8/15/12,8/18/12,49,46,5,0,Live Phone,Likely Voters
--,LA Times/USC,1009,8/13/12,8/18/12,48,45,2,4,Live Phone,Likely Voters
FL,Purple Strategies,600,8/15/12,8/18/12,47,48,5,0,Live Phone,Likely Voters
VA,Purple Strategies,600,8/15/12,8/18/12,45,48,7,0,Live Phone,Likely Voters
OH,Purple Strategies,600,8/15/12,8/18/12,44,46,10,0,Live Phone,Likely Voters
MI,Mitchell Research,1079,8/16/12,8/19/12,49,44,7,0,Live Phone,Likely Voters
WI,CNN | ORC,920,8/16/12,8/19/12,49,45,6,0,Live Phone,Registered Voters
PA,Franklin & Marshall,681,8/16/12,8/19/12,47,42,11,0,Live Phone,Registered Voters
WI,Rasmussen,500,8/16/12,8/19/12,47,48,5,0,Live Phone,Likely Voters
FL,Rasmussen,500,8/16/12,8/19/12,43,45,12,0,Live Phone,Likely Voters
NV,Garin-Hart-Yang,613,8/17/12,8/20/12,49,44,7,0,Live Phone,Likely Voters
--,Monmouth University/SurveyUSA,1149,8/15/12,8/20/12,46,45,2,6,Live Phone,Likely Voters
--,Angus Reid Public Opinion,1007,8/15/12,8/20/12,45,49,0,4,Live Phone,Likely Voters
--,Daily Kos & SEIU/PPP,1000,8/16/12,8/21/12,49,45,0,4,Live Phone,Likely Voters
FL,"Foster, Baydoun",1503,8/18/12,8/21/12,40,54,6,0,Live Phone,Likely Voters
FL,Gravis Marketing,728,8/20/12,8/23/12,45,48,7,0,Live Phone,Likely Voters
AL,Capital Survey Research Center,452,8/20/12,8/23/12,36,54,10,0,Live Phone,Registered Voters
OK,SoonerPoll,495,8/20/12,8/23/12,29,58,13,0,Live Phone,Likely Voters
NY,Siena College,671,8/21/12,8/24/12,62,33,5,0,Live Phone,Likely Voters
NM,Rasmussen,500,8/21/12,8/24/12,52,38,10,0,Live Phone,Likely Voters
VA,Public Policy,855,8/21/12,8/24/12,50,45,5,0,Live Phone,Likely Voters
WI,Public Policy,1308,8/21/12,8/24/12,47,48,5,0,Live Phone,Likely Voters
WA,Moore Information,500,8/21/12,8/24/12,46,36,18,0,Live Phone,Likely Voters
MI,"Foster, Baydoun",1733,8/21/12,8/24/12,44,48,8,0,Live Phone,Likely Voters
--,Fox News,1219,8/19/12,8/24/12,44,45,2,6,Live Phone,Likely Voters
VT,Castleton Polling Institute,477,8/22/12,8/25/12,62,25,13,0,Live Phone,Registered Voters
MA,Public Policy,1115,8/22/12,8/25/12,55,39,6,0,Live Phone,Likely Voters
WI,Marquette Univ. Law School,576,8/22/12,8/25/12,49,46,5,0,Live Phone,Likely Voters
NV,SurveyUSA,869,8/22/12,8/25/12,47,45,8,0,Live Phone,Likely Voters
MT,Rasmussen,500,8/22/12,8/25/12,38,55,7,0,Live Phone,Likely Voters
CT,Rasmussen,500,8/23/12,8/26/12,51,43,6,0,Live Phone,Likely Voters
OH,Quinnipiac,1253,8/23/12,8/26/12,50,44,6,0,Live Phone,Likely Voters
FL,Quinnipiac,1241,8/23/12,8/26/12,49,46,5,0,Live Phone,Likely Voters
OH,Ohio Poll,847,8/23/12,8/26/12,49,46,5,0,Live Phone,Likely Voters
PA,Morning Call/Muhlenberg,422,8/23/12,8/26/12,49,40,11,0,Live Phone,Likely Voters
WI,Quinnipiac,1190,8/23/12,8/26/12,49,47,4,0,Live Phone,Likely Voters
MI,Glengariff Group,600,8/23/12,8/26/12,48,42,10,0,Live Phone,Likely Voters
MO,Public Policy,500,8/23/12,8/26/12,42,52,6,0,Live Phone,Likely Voters
--,CNN/ORC,924,8/22/12,8/27/12,52,43,0,2,Live Phone,Likely Voters
CO,Keating Research,500,8/24/12,8/27/12,48,44,8,0,Live Phone,Likely Voters
MO,Rasmussen,500,8/24/12,8/27/12,47,46,7,0,Live Phone,Likely Voters
VA,Rasmussen,500,8/24/12,8/27/12,47,47,6,0,Live Phone,Likely Voters
--,ABC News/Washington Post,857,8/22/12,8/27/12,46,47,2,4,Live Phone,Likely Voters
--,CBS News,1051,8/22/12,8/27/12,46,45,2,6,Live Phone,Likely Voters
PA,Philadelphia Inquirer,601,8/25/12,8/28/12,51,42,7,0,Live Phone,Likely Voters
--,Democracy Corps.,1000,8/23/12,8/28/12,49,47,0,2,Live Phone,Likely Voters
--,Rasmussen [permanent dead link],1500,8/23/12,8/28/12,44,45,2,6,Live Phone,Likely Voters
MO,Mason-Dixon,625,8/25/12,8/28/12,43,50,7,0,Live Phone,Registered Voters
MA,Kimball Political Consulting,592,8/26/12,8/29/12,52,41,7,0,Live Phone,Likely Voters
--,Gallup ,3050,8/24/12,8/29/12,47,46,2,4,Live Phone,Likely Voters
MO,Gravis Marketing,1057,8/26/12,8/29/12,36,53,11,0,Live Phone,Registered Voters
FL,CNN/Time/ORC,776,8/27/12,8/30/12,50,46,4,0,Live Phone,Likely Voters
MI,Mitchell Research,1277,8/27/12,8/30/12,47,47,6,0,Live Phone,Likely Voters
NC,CNN/Time/ORC,766,8/27/12,8/30/12,47,48,5,0,Live Phone,Likely Voters
--,YouGov,1000,8/25/12,8/30/12,46,47,2,4,Live Phone,Likely Voters
OH,Columbus Dispatch,1758,8/27/12,8/30/12,45,45,10,0,Live Phone,Likely Voters
NC,SurveyUSA,540,8/27/12,8/30/12,43,43,14,0,Live Phone,Registered Voters
--,Reuters/Ipsos,1545,8/25/12,8/30/12,42,40,4,12,Live Phone,Likely Voters
CT,Public Policy,881,8/28/12,8/31/12,53,40,7,0,Live Phone,Registered Voters
CT,Quinnipiac,1472,8/28/12,8/31/12,52,45,3,0,Live Phone,Likely Voters
IA,Public Policy,1244,8/28/12,8/31/12,47,45,8,0,Live Phone,Likely Voters
CA,CBRT Pepperdine,815,8/29/12,9/1/12,56,32,12,0,Live Phone,Likely Voters
NJ,Rutgers-Eagleton,710,8/29/12,9/1/12,51,37,12,0,Live Phone,Likely Voters
NV,Public Policy,831,8/29/12,9/1/12,50,47,3,0,Live Phone,Likely Voters
IL,Crain's/Ipsos,600,8/30/12,9/2/12,55,29,16,0,Live Phone,Registered Voters
MO,Public Policy,621,8/30/12,9/2/12,41,53,6,0,Live Phone,Likely Voters
MI,EPIC-MRA,1200,8/31/12,9/3/12,49,46,5,0,Live Phone,Likely Voters
OH,Gravis Marketing,1397,8/31/12,9/3/12,45,44,11,0,Live Phone,Registered Voters
WV,The West Va. Poll (R.L. Repass),401,8/31/12,9/3/12,38,52,10,0,Live Phone,Likely Voters
--,CNN/Opinion Research,877,8/31/12,9/5/12,52,45,0,2,Live Phone,Likely Voters
FL,Public Policy,1548,9/2/12,9/5/12,48,47,5,0,Live Phone,Likely Voters
NC,Public Policy,1012,9/2/12,9/5/12,48,48,4,0,Live Phone,Likely Voters
MI,Public Policy,815,9/3/12,9/6/12,51,44,5,0,Live Phone,Likely Voters
CO,Public Policy,1001,9/3/12,9/6/12,49,46,5,0,Live Phone,Likely Voters
NC,SurveyUSA,543,9/3/12,9/6/12,43,46,11,0,Live Phone,Registered Voters
NC,Elon University,1089,9/3/12,9/6/12,43,47,10,0,Live Phone,Likely Voters
FL,Gravis Marketing,1288,9/4/12,9/7/12,47,48,5,0,Live Phone,Likely Voters
OH,Gravis Marketing,1381,9/5/12,9/8/12,44,47,9,0,Live Phone,Registered Voters
NJ,Quinnipiac,1471,9/6/12,9/9/12,51,44,5,0,Live Phone,Likely Voters
--,IBD/TIFF/Christian Science Monitor,808,9/4/12,9/9/12,46,44,2,6,Live Phone,Likely Voters
--,Gallup ,3050,9/6/12,9/11/12,50,44,0,4,Live Phone,Likely Voters
--,Ipsos/Reuters ,1434,9/6/12,9/11/12,45,41,4,8,Live Phone,Likely Voters
--,CNN/Opinion Research,875,9/7/12,9/12/12,53,45,0,0,Live Phone,Likely Voters
--,Esquire/Yahoo! News,1000,9/7/12,9/12/12,52,41,2,4,Live Phone,Likely Voters
OH,Public Policy,1072,9/9/12,9/12/12,50,45,5,0,Live Phone,Likely Voters
--,ABC News/Washington Post,826,9/7/12,9/12/12,50,44,0,4,Live Phone,Likely Voters
--,Daily Kos/PPP,1000,9/7/12,9/12/12,50,44,0,4,Live Phone,Likely Voters
NM,Albuquerque Journal,667,9/9/12,9/12/12,45,40,15,0,Live Phone,Likely Voters
MA,Kimball Political Consulting,756,9/10/12,9/13/12,56,40,4,0,Live Phone,Likely Voters
WA,SurveyUSA,524,9/10/12,9/13/12,54,38,8,0,Live Phone,Likely Voters
--,CBS/New York Times,1170,9/8/12,9/13/12,51,43,0,4,Live Phone,Likely Voters
--,Democracy Corps,1000,9/8/12,9/13/12,50,45,0,2,Live Phone,Likely Voters
NC,Public Policy,1087,9/10/12,9/13/12,49,48,3,0,Live Phone,Likely Voters
--,YouGov/The YouGov,1000,9/8/12,9/13/12,49,45,0,4,Live Phone,Likely Voters
--,UPI/CVOTER,3000,9/8/12,9/13/12,49,45,0,4,Live Phone,Likely Voters
--,Rasmussen ,1500,9/8/12,9/13/12,46,45,2,6,Live Phone,Likely Voters
NC,Civitas,500,9/10/12,9/13/12,43,53,4,0,Live Phone,Registered Voters
IL,We Ask America,1382,9/11/12,9/14/12,54,37,9,0,Live Phone,Likely Voters
MN,SurveyUSA,551,9/11/12,9/14/12,50,40,10,0,Live Phone,Likely Voters
OH,Gravis Marketing,1548,9/11/12,9/14/12,47,43,10,0,Live Phone,Likely Voters
--,Fox News,1224,9/9/12,9/14/12,46,42,2,8,Live Phone,Likely Voters
VA,Gravis Marketing,2238,9/11/12,9/14/12,44,49,7,0,Live Phone,Likely Voters
NM,Public Policy,1122,9/12/12,9/15/12,53,42,5,0,Live Phone,Likely Voters
WA,Public Policy,563,9/12/12,9/15/12,53,42,5,0,Live Phone,Likely Voters
FL,SurveyUSA,596,9/12/12,9/15/12,48,44,8,0,Live Phone,Likely Voters
MI,EPIC-MRA,1200,9/12/12,9/15/12,47,37,16,0,Live Phone,Likely Voters
MT,Public Policy,656,9/12/12,9/15/12,45,50,5,0,Live Phone,Likely Voters
AZ,Public Policy,993,9/12/12,9/15/12,44,53,3,0,Live Phone,Likely Voters
NY,Quinnipiac,1486,9/13/12,9/16/12,62,34,4,0,Live Phone,Likely Voters
CA,SurveyUSA,524,9/13/12,9/16/12,57,35,8,0,Live Phone,Likely Voters
MN,Public Policy,824,9/13/12,9/16/12,51,44,5,0,Live Phone,Likely Voters
OH,NBC/WSJ/Marist,979,9/13/12,9/16/12,50,43,7,0,Live Phone,Likely Voters
CO,American Research Group,600,9/13/12,9/16/12,49,47,4,0,Live Phone,Likely Voters
CO,Keating Research,503,9/13/12,9/16/12,49,44,7,0,Live Phone,Likely Voters
FL,NBC/WSJ/Marist,980,9/13/12,9/16/12,49,44,7,0,Live Phone,Likely Voters
VA,NBC/WSJ/Marist,996,9/13/12,9/16/12,49,44,7,0,Live Phone,Likely Voters
FL,Rasmussen,500,9/13/12,9/16/12,48,46,6,0,Live Phone,Likely Voters
OH,American Research Group,600,9/13/12,9/16/12,48,47,5,0,Live Phone,Likely Voters
--,Zogby / JZAnalytics,1014,9/11/12,9/16/12,47.7,42,2,6,Live Phone,Likely Voters
FL,McLaughlin & Associates,600,9/13/12,9/16/12,47,50,3,0,Live Phone,Likely Voters
OH,Rasmussen,500,9/13/12,9/16/12,47,46,7,0,Live Phone,Likely Voters
MI,"Foster, Baydoun",1156,9/13/12,9/16/12,46,44,10,0,Live Phone,Likely Voters
--,UConn/Hartford Courant,1148,9/11/12,9/16/12,46,43,2,6,Live Phone,Likely Voters
MO,Rasmussen,500,9/13/12,9/16/12,45,48,7,0,Live Phone,Likely Voters
NH,Granite State Poll - Univ. of NH,592,9/13/12,9/16/12,45,40,15,0,Live Phone,Likely Voters
TX,Wilson Perkins Allen,1004,9/13/12,9/16/12,40,55,5,0,Live Phone,Likely Voters
CA,CBRT Pepperdine,802,9/14/12,9/17/12,55,33,12,0,Live Phone,Likely Voters
NJ,Fairleigh Dickinson U.,706,9/14/12,9/17/12,52,38,10,0,Live Phone,Likely Voters
--,Pew Center,2424,9/12/12,9/17/12,51,42,2,4,Live Phone,Likely Voters
--,NBC/Wall Street Journal,900,9/12/12,9/17/12,50,44,0,4,Live Phone,Likely Voters
VA,Rasmussen,500,9/14/12,9/17/12,49,48,3,0,Live Phone,Likely Voters
CO,SurveyUSA,615,9/14/12,9/17/12,47,46,7,0,Live Phone,Likely Voters
--,Ipsos/Reuters,737,9/12/12,9/17/12,46,41,2,8,Live Phone,Likely Voters
NC,Rasmussen,500,9/14/12,9/17/12,45,51,4,0,Live Phone,Likely Voters
WA,Elway Research,405,9/15/12,9/18/12,53,36,11,0,Live Phone,Registered Voters
--,Reason-Rupe,787,9/13/12,9/18/12,52,45,0,2,Live Phone,Likely Voters
--,Associated Press/GfK Roper,1512,9/13/12,9/18/12,52,37,2,6,Live Phone,Likely Voters
NJ,Philadelphia Inquirer,600,9/15/12,9/18/12,51,37,12,0,Live Phone,Likely Voters
PA,Philadelphia Inquirer,600,9/15/12,9/18/12,50,39,11,0,Live Phone,Likely Voters
--,Monmouth University,1571,9/13/12,9/18/12,48,41,2,6,Live Phone,Likely Voters
IL,Simon Institute,1261,9/15/12,9/18/12,47,34,19,0,Live Phone,Registered Voters
VA,Public Policy,1021,9/16/12,9/19/12,51,46,3,0,Live Phone,Likely Voters
KY,SurveyUSA,606,9/16/12,9/19/12,39,53,8,0,Live Phone,Likely Voters
--,Allstate/National Journal,1055,9/15/12,9/20/12,50,43,2,4,Live Phone,Likely Voters
WI,Public Policy,959,9/17/12,9/20/12,49,48,3,0,Live Phone,Likely Voters
MA,Suffolk University,600,9/18/12,9/21/12,64,33,3,0,Live Phone,Likely Voters
MA,Western New England Univ.,444,9/18/12,9/21/12,60,38,2,0,Live Phone,Likely Voters
MA,Public Policy,876,9/18/12,9/21/12,57,39,4,0,Live Phone,Likely Voters
VA,Washington Post,847,9/18/12,9/21/12,52,44,4,0,Live Phone,Likely Voters
OR,SurveyUSA,552,9/18/12,9/21/12,50,41,9,0,Live Phone,Likely Voters
PA,Morning Call/Muhlenberg,640,9/18/12,9/21/12,50,41,9,0,Live Phone,Likely Voters
--,Politico/George Washington University,1000,9/16/12,9/21/12,50,46,0,2,Live Phone,Likely Voters
MI,Marketing Resource Group,600,9/18/12,9/21/12,48,42,10,0,Live Phone,Likely Voters
NH,American Research Group,558,9/18/12,9/21/12,48,46,6,0,Live Phone,Registered Voters
FL,Gravis Marketing,1728,9/18/12,9/21/12,47,48,5,0,Live Phone,Likely Voters
CO,Rasmussen,500,9/18/12,9/21/12,45,47,8,0,Live Phone,Likely Voters
IN,Global Strategy Group,800,9/18/12,9/21/12,41,47,12,0,Live Phone,Likely Voters
MA,MassINC,507,9/19/12,9/22/12,59,31,10,0,Live Phone,Likely Voters
CA,Field Research,891,9/19/12,9/22/12,58,34,8,0,Live Phone,Likely Voters
ME,Public Policy,804,9/19/12,9/22/12,55,39,6,0,Live Phone,Likely Voters
ME,Maine People's Resource Center,856,9/19/12,9/22/12,54,37,9,0,Live Phone,Registered Voters
WI,Marquette Univ. Law School,601,9/19/12,9/22/12,54,40,6,0,Live Phone,Likely Voters
MI,CNN | ORC,754,9/19/12,9/22/12,52,44,4,0,Live Phone,Likely Voters
WI,Quinnipiac,1485,9/19/12,9/22/12,51,45,4,0,Live Phone,Likely Voters
VA,Quinnipiac,1474,9/19/12,9/22/12,50,46,4,0,Live Phone,Likely Voters
VA,Fox News,1006,9/19/12,9/22/12,50,43,7,0,Live Phone,Likely Voters
FL,Fox News,829,9/19/12,9/22/12,49,44,7,0,Live Phone,Likely Voters
OH,Fox News,1009,9/19/12,9/22/12,49,42,9,0,Live Phone,Likely Voters
VA,We Ask America,1238,9/19/12,9/22/12,49,46,5,0,Live Phone,Likely Voters
CO,Quinnipiac,1479,9/19/12,9/22/12,48,47,5,0,Live Phone,Likely Voters
ME,Maine People's Resource Center (2nd CD Only),856,9/19/12,9/22/12,48,41,11,0,Live Phone,Registered Voters
NH,Rasmussen,500,9/19/12,9/22/12,45,48,7,0,Live Phone,Likely Voters
MA,UMass/Boston Herald,497,9/20/12,9/23/12,59,36,5,0,Live Phone,Likely Voters
CT,UConn/Courant,508,9/20/12,9/23/12,53,32,15,0,Live Phone,Likely Voters
MI,Glengariff Group,600,9/20/12,9/23/12,52,38,10,0,Live Phone,Likely Voters
WI,Public Policy,842,9/20/12,9/23/12,52,45,3,0,Live Phone,Likely Voters
NV,YouGov,588,9/20/12,9/23/12,51,43,6,0,Live Phone,Registered Voters
CO,NBC/WSJ/Marist,971,9/20/12,9/23/12,50,45,5,0,Live Phone,Likely Voters
IA,NBC/WSJ/Marist,898,9/20/12,9/23/12,50,42,8,0,Live Phone,Likely Voters
WI,NBC/WSJ/Marist,968,9/20/12,9/23/12,50,45,5,0,Live Phone,Likely Voters
CO,YouGov,753,9/20/12,9/23/12,49,45,6,0,Live Phone,Registered Voters
FL,We Ask America,1230,9/20/12,9/23/12,49,46,5,0,Live Phone,Likely Voters
NV,CNN | ORC,741,9/20/12,9/23/12,49,46,5,0,Live Phone,Likely Voters
WI,Rasmussen,500,9/20/12,9/23/12,49,46,5,0,Live Phone,Likely Voters
FL,YouGov,1507,9/20/12,9/23/12,48,46,6,0,Live Phone,Registered Voters
IA,YouGov,766,9/20/12,9/23/12,48,42,10,0,Live Phone,Registered Voters
PA,We Ask America,1214,9/20/12,9/23/12,48,42,10,0,Live Phone,Likely Voters
VA,YouGov,1121,9/20/12,9/23/12,48,44,8,0,Live Phone,Registered Voters
WI,YouGov,804,9/20/12,9/23/12,48,46,6,0,Live Phone,Registered Voters
NH,YouGov,361,9/20/12,9/23/12,47,40,13,0,Live Phone,Registered Voters
NV,Rasmussen,500,9/20/12,9/23/12,47,45,8,0,Live Phone,Likely Voters
OH,Cadell | McLaughlin,600,9/20/12,9/23/12,47,44,9,0,Live Phone,Likely Voters
NC,YouGov,1161,9/20/12,9/23/12,46,46,8,0,Live Phone,Registered Voters
FL,Cadell | McLaughlin,600,9/20/12,9/23/12,44,48,8,0,Live Phone,Likely Voters
IA,Rasmussen,500,9/20/12,9/23/12,44,47,9,0,Live Phone,Likely Voters
CA,PPIC,995,9/21/12,9/24/12,53,39,8,0,Live Phone,Likely Voters
--,Gallup ,3050,9/19/12,9/24/12,50,44,0,4,Live Phone,Likely Voters
CO,Purple Strategies,600,9/21/12,9/24/12,48,45,7,0,Live Phone,Likely Voters
NC,Purple Strategies,600,9/21/12,9/24/12,48,46,6,0,Live Phone,Likely Voters
OH,Purple Strategies,600,9/21/12,9/24/12,48,44,8,0,Live Phone,Likely Voters
PA,Susquehanna Polling & Research,800,9/21/12,9/24/12,48,47,5,0,Live Phone,Likely Voters
--,Angus Reid Public Opinion[permanent dead link],865,9/19/12,9/24/12,48,46,0,4,Live Phone,Likely Voters
FL,Purple Strategies,600,9/21/12,9/24/12,47,48,5,0,Live Phone,Likely Voters
NC,High Point University,448,9/21/12,9/24/12,46,43,11,0,Live Phone,Registered Voters
VA,Purple Strategies,600,9/21/12,9/24/12,46,43,11,0,Live Phone,Likely Voters
AZ,Purple Strategies,600,9/21/12,9/24/12,45,48,7,0,Live Phone,Likely Voters
GA,InsiderAdvantage,483,9/21/12,9/24/12,35,56,9,0,Live Phone,Registered Voters
IL,YouGov,1188,9/22/12,9/25/12,59,35,6,0,Live Phone,Registered Voters
MD,YouGov,749,9/22/12,9/25/12,58,36,6,0,Live Phone,Registered Voters
NY,YouGov,1562,9/22/12,9/25/12,58,34,8,0,Live Phone,Registered Voters
MA,YouGov,899,9/22/12,9/25/12,56,37,7,0,Live Phone,Registered Voters
CA,YouGov,1456,9/22/12,9/25/12,54,36,10,0,Live Phone,Registered Voters
CT,YouGov,705,9/22/12,9/25/12,53,39,8,0,Live Phone,Registered Voters
NJ,YouGov,1143,9/22/12,9/25/12,53,39,8,0,Live Phone,Registered Voters
NM,YouGov,331,9/22/12,9/25/12,53,41,6,0,Live Phone,Registered Voters
WA,YouGov,939,9/22/12,9/25/12,52,39,9,0,Live Phone,Registered Voters
MI,YouGov,1202,9/22/12,9/25/12,51,40,9,0,Live Phone,Registered Voters
OH,University of Cincinnati,861,9/22/12,9/25/12,51,46,3,0,Live Phone,Registered Voters
PA,YouGov,1214,9/22/12,9/25/12,51,42,7,0,Live Phone,Registered Voters
PA,Rasmussen,500,9/22/12,9/25/12,51,39,10,0,Live Phone,Likely Voters
MN,YouGov,873,9/22/12,9/25/12,50,41,9,0,Live Phone,Registered Voters
--,PPP/Daily Kos & SEIU,1200,9/20/12,9/25/12,50,45,0,2,Live Phone,Likely Voters
--,Reuters/Ipsos,1313,9/20/12,9/25/12,49,43,2,4,Live Phone,Likely Voters
OH,YouGov,1082,9/22/12,9/25/12,47,44,9,0,Live Phone,Registered Voters
GA,YouGov,1102,9/22/12,9/25/12,44,50,6,0,Live Phone,Registered Voters
IN,YouGov,707,9/22/12,9/25/12,44,50,6,0,Live Phone,Registered Voters
MO,YouGov,809,9/22/12,9/25/12,43,49,8,0,Live Phone,Registered Voters
TN,YouGov,789,9/22/12,9/25/12,42,49,9,0,Live Phone,Registered Voters
AZ,YouGov,674,9/22/12,9/25/12,41,51,8,0,Live Phone,Registered Voters
TX,YouGov,1254,9/22/12,9/25/12,41,52,7,0,Live Phone,Registered Voters
SD,Nielson Brothers,512,9/22/12,9/25/12,39,54,7,0,Live Phone,Likely Voters
--,Bloomberg,789,9/21/12,9/26/12,49,43,2,4,Live Phone,Likely Voters
--,Zogby / JZAnalytics,860,9/21/12,9/26/12,49,41,2,6,Live Phone,Likely Voters
FL,Mason-Dixon,800,9/23/12,9/26/12,48,47,5,0,Live Phone,Registered Voters
MI,Rasmussen,500,9/24/12,9/27/12,54,42,4,0,Live Phone,Likely Voters
WI,We Ask America,1238,9/24/12,9/27/12,53,41,6,0,Live Phone,Likely Voters
CO,Public Policy,940,9/24/12,9/27/12,51,45,4,0,Live Phone,Likely Voters
IA,American Research Group,600,9/24/12,9/27/12,51,44,5,0,Live Phone,Likely Voters
NV,American Research Group,600,9/24/12,9/27/12,51,44,5,0,Live Phone,Likely Voters
FL,Public Policy,861,9/24/12,9/27/12,50,46,4,0,Live Phone,Likely Voters
FL,American Research Group,600,9/24/12,9/27/12,50,45,5,0,Live Phone,Likely Voters
NC,Civitas,600,9/24/12,9/27/12,49,45,6,0,Live Phone,Likely Voters
MN,Mason-Dixon,800,9/24/12,9/27/12,48,40,12,0,Live Phone,Likely Voters
PA,Mercyhurst,522,9/24/12,9/27/12,48,40,12,0,Live Phone,Likely Voters
PA,Susquehanna Polling & Research,800,9/24/12,9/27/12,47,45,8,0,Live Phone,Likely Voters
